보관소명,소재지,위도,경도,LCD,QR,설치대수
돈암성당 옆,성북구,37.59038162,127.0171356,10,,10
용문2교 옆,성북구,37.5868988,127.020752,15,,15
삼성전자서비스 성북센터,성북구,37.610569,127.0335083,9,,9
광운초등학교 앞,성북구,37.61784363,127.0550003,11,,11
성북쉼터 앞,성북구,37.59261703,126.9979324,10,,10
한성대7번출구 앞,성북구,37.58924866,127.0073776,10,,10
아리랑시네센터 앞,성북구,37.60028839,127.0137024,10,,10
길음8골어린이공원 옆,성북구,37.60897827,127.0202484,15,,15
길음래미안아파트817동 상가 앞,성북구,37.60710526,127.0214996,10,,10
성북제일새마을금고 본점 앞,성북구,37.60475159,127.0227585,12,,12
월계2교 버스정류장 앞,성북구,37.62382889,127.0502014,10,,10
안암2교 옆,성북구,37.5794487,127.0241928,8,,8
e 편한세상 보문아파트 내,성북구,37.58388138,127.0170975,8,,8
금호어울림센터힐 내,성북구,37.60083008,127.0235519,8,,8
고려대학교 2번출구,성북구,37.5907135,127.0361939,22,,22
보문2교,성북구,37.58869934,127.0189133,25,,25
북한산보국문역,성북구,37.61207199,127.0081329,10,,10
정릉도서관 앞,성북구,37.60478973,127.010582,7,,7
장위뉴타운 꿈에 숲 코오롱 하늘채 앞,성북구,37.61980057,127.0450974,20,,20
정릉역,성북구,37.60309601,127.013504,10,,10
홍익중고 입구,성북구,37.59296799,127.0022354,20,,20
보문역6번출구 앞,성북구,37.58519745,127.0196686,,12,12
보문4교 인근,성북구,37.58375168,127.0219498,25,,25
성북동 치안센터 앞,성북구,37.59017181,127.0040894,10,,10
선잠단지 앞,성북구,37.5933609,126.9990921,10,,10
일신초등학교 옆,성북구,37.59972,127.0403824,10,,10
길음문화복합미디어센터,성북구,37.60404587,127.0226593,10,,10
성신여대입구 교차로,성북구,37.59148026,127.0201035,10,,10
미아사거리,성북구,37.60913086,127.0300293,15,,15
복자사랑 피정의 집,성북구,37.59453964,126.9952087,10,,10
