보관소명,소재지,위도,경도,LCD,QR,설치대수
천왕이펜하우스 4단지 상가 앞,구로구,37.48070526,126.8389587,15,,15
천왕연지타운2단지 앞,구로구,37.48210526,126.845726,20,,20
천왕역 4번출구 뒤,구로구,37.48638535,126.8392105,20,,20
디지털입구 교차로,구로구,37.48288345,126.9010391,10,,10
동아1차APT105동 버스정류장(신도림중학교 방면),구로구,37.51000977,126.8820496,15,,15
구로거리공원 동측(신도림역 방면),구로구,37.49340057,126.8743286,15,,15
500번·507번 버스 종점 앞,구로구,37.49578094,126.8901215,15,,15
구로구의회 앞,구로구,37.49645615,126.8895874,10,,10
화광신문사 앞,구로구,37.50284958,126.8894806,10,,10
신도림테크노근린공원,구로구,37.50819397,126.891304,15,,15
가리봉동주민센터,구로구,37.48160172,126.8927994,15,,15
원메디타운 앞,구로구,37.49789047,126.864502,10,,10
삼환로즈빌아파트 105동 옆,구로구,37.49724197,126.8591232,15,,15
한마을아파트 정문상가,구로구,37.49649811,126.8630981,10,,10
참새공원(백곡경노당),구로구,37.5051384,126.8443375,10,,10
동인오피스텔 건너편 소공원,구로구,37.49848175,126.8475037,7,,7
궁동생태공원,구로구,37.50190353,126.8289642,10,,10
오정초교 앞 보도육교,구로구,37.49072266,126.8263931,10,,10
오리로와 서해안도로 교차로 앞,구로구,37.48859787,126.8364945,10,,10
신도림2차e편한세상아파트 203동 앞,구로구,37.50518036,126.8825378,10,,10
대림역 1번 출입구 밑,구로구,37.49256516,126.8947525,10,,10
남구로역 5번 출입구 앞,구로구,37.48567963,126.8867035,10,,10
천왕역 1번 출입구 앞,구로구,37.48620987,126.8388214,15,,15
구로1동우체국 앞,구로구,37.4920311,126.8737717,10,,10
천왕이펜하우스5단지 앞,구로구,37.47943115,126.8426971,10,,10
구로동롯데아파트,구로구,37.50254822,126.8838806,10,,10
구로구청,구로구,37.49526596,126.8884735,10,,10
구로도서관,구로구,37.49851608,126.8919907,20,,20
태평양물산빌딩,구로구,37.48485947,126.8951874,15,,15
개봉아이파크아파트 앞,구로구,37.49034119,126.8609314,15,,15
고척LIGA아파트 앞,구로구,37.50605011,126.8607864,20,,20
오류동역 맞은편,구로구,37.49676132,126.8449631,15,,15
구로구배드민턴실내체육관 앞,구로구,37.4917984,126.8324204,12,,12
금강수목원아파트 앞,구로구,37.48937988,126.834198,10,,10
삼성전자 물류센터 앞,구로구,37.49699783,126.8717804,10,,10
구일역 1번 출입구 앞,구로구,37.49539948,126.8710098,20,,20
고척교 교차로,구로구,37.49856949,126.871521,23,,23
수궁동 성당 주변,구로구,37.49525833,126.830658,10,,10
신도림4차 e편한세상 아파트 1109동 앞,구로구,37.5123291,126.8868332,15,,15
노들역 1번출구,동작구,37.51284409,126.9524689,17,,17
사육신공원앞,동작구,37.51335907,126.9480591,10,,10
유한양행앞,동작구,37.51293945,126.9342423,20,,20
노량진근린공원 대방공원,동작구,37.5093689,126.9280701,10,,10
보라매역 8번출구,동작구,37.50007629,126.9210815,10,,10
대림사거리(동작상떼빌아파트),동작구,37.48836136,126.9062271,10,,10
장승배기역 5번출구,동작구,37.50585175,126.9393616,30,,30
신대방삼거리역 6번출구쪽,동작구,37.49985504,126.9295654,20,,20
신대방삼거리역 3번출구쪽,동작구,37.49964523,126.9270935,10,,10
장승배기역2번출구뒷편쪽,동작구,37.50449753,126.9389877,10,,10
상도역 1번출구,동작구,37.50217819,126.948204,10,,10
흑석역 1번출구,동작구,37.50938034,126.9636154,20,,20
흑석역 4번출구,동작구,37.50858688,126.9634934,10,,10
중앙대학교 정문 1,동작구,37.50704193,126.9591522,15,,15
이수역 11번출구쪽,동작구,37.48550797,126.9816208,10,,10
사당동 아르테스 웨딩앞,동작구,37.48149109,126.9815826,10,,10
사당역 7번출구쪽,동작구,37.47689056,126.9805756,20,,20
정금마을 마을버스정류장,동작구,37.4947052,126.9823914,12,,12
동작역 5번출구 동작주차공원,동작구,37.50318909,126.97715,20,,20
동작역 7번출구,동작구,37.50318146,126.9760895,10,,10
비계 버스정류소,동작구,37.5063591,126.9690781,10,,10
사당중학교 버스정류소,동작구,37.48683548,126.9680481,10,,10
삼일초등학교 인근,동작구,37.48907852,126.9735642,10,,10
노량진역 5번출구,동작구,37.51324844,126.9399719,10,,10
삼익아파트,동작구,37.51054764,126.9448471,10,,10
동작구민 체육센터,동작구,37.49449921,126.9165268,10,,10
상도 아이파크 아파트,동작구,37.5008812,126.9417496,10,,10
동작경찰서,동작구,37.5135231,126.9435272,14,,14
보라매공원 정문,동작구,37.49707794,126.9177933,10,,10
남성역3번출구 뒤,동작구,37.48463058,126.97155,10,,10
한강 현대아파트 건너편,동작구,37.50592804,126.9692307,10,,10
사당새마을금고,동작구,37.48665237,126.9678421,10,,10
흑석한강푸르지오 106동앞,동작구,37.50535583,126.9661789,10,,10
서울시여성가족재단,동작구,37.51198959,126.9270859,10,,10
양문교회 앞,동작구,37.48939896,126.9071121,10,,10
보라매역?동작세무서 버스정류장(강남중학교방면),동작구,37.49766922,126.9198685,10,,10
총신대 앞(육교),동작구,37.48815918,126.9664764,8,,8
숭실대 입구역3번 출구 앞,동작구,37.4966011,126.953682,7,,7
노량진역 2번 출구 앞,동작구,37.51391983,126.9430695,12,,12
대림아파트 후문 상가 옆,동작구,37.48886871,126.9719086,10,,10
노들나루공원 입구,동작구,37.51357651,126.9555512,,18,18
노들역 3번출구,동작구,37.51193619,126.9541626,,10,10
흑석 아크로리버하임(103동),동작구,37.51083755,126.9616318,,13,13
중앙대학교 정문,동작구,37.50667191,126.9577789,,25,25
대방지하보도(대방동경남아너스빌아파트),동작구,37.51213455,126.9254379,,15,15
7호선 이수역7번출구,동작구,37.4846077,126.9817963,,10,10
흑석롯데캐슬에듀포레(107동),동작구,37.50470352,126.9607315,,10,10
e편한세상 상도노빌리티 앞,동작구,37.50456238,126.946785,,25,25
강남중학교 앞,동작구,37.50274277,126.9215775,,20,20
삼일수영장 앞,동작구,37.48712158,126.9743576,,22,22
상도중앙하이츠빌 입구,동작구,37.50024796,126.9497299,,10,10
사당역10번출구(금강빌딩),동작구,37.4791069,126.9815064,,10,10
기아자동차 사당점 앞,동작구,37.48377991,126.9779205,,15,15
이수역9번출구,동작구,37.48470306,126.9805908,,15,15
흑석한강푸르지오(110동),동작구,37.50311279,126.9647141,,10,10
상도SH빌아파트 입구,동작구,37.50321198,126.9545975,,8,8
숭실대학교(중문) ,동작구,37.49550629,126.9563751,,20,20
경문고등학교 앞,동작구,37.49150085,126.9824066,,10,10
서울특별시 동작관악교육지원청,동작구,37.50251389,126.9406509,,8,8
봉림교 교통섬,관악구,37.48408508,126.9268875,20,,20
신림동 우방아파트,관악구,37.4891777,126.9192734,10,,10
사당역 5번출구,관악구,37.47608948,126.9813309,13,,13
미성동 신림체육센터,관악구,37.48025131,126.9146042,12,,12
세이브마트,관악구,37.47372818,126.9184036,12,,12
도림천 신화교,관악구,37.4754715,126.9364548,25,,25
은천치안센터,관악구,37.48334122,126.9431992,,20,20
은천로입구 가로공원,관악구,37.48622513,126.9358292,22,,22
조원동 미성아파트,관악구,37.48319244,126.9020309,9,,9
서울대입구역 1번출구,관악구,37.48086929,126.9533157,,10,10
서울대입구역 마에스트로,관악구,37.4813385,126.9506455,15,,15
관악동작견인차량보관소,관악구,37.4846611,126.9039002,20,,20
관악구시설관리공단,관악구,37.47991562,126.9028397,20,,20
에이스에이존빌딩,관악구,37.48170471,126.9508286,9,,9
중앙동 동진빌딩,관악구,37.48425674,126.9546967,,10,10
낙성대로 입구,관악구,37.47805786,126.960495,20,,20
난곡종점,관악구,37.46488571,126.9194794,10,,10
관악구청교차로,관악구,37.47916412,126.9525833,,12,12
낙성대 과학전시관,관악구,37.46905518,126.9581451,10,,10
영어마을 관악캠프,관악구,37.47198868,126.9584274,10,,10
신림역 5번출구,관악구,37.48440933,126.9289093,9,,9
신림역 8번출구,관악구,37.48450851,126.930069,8,,8
KT&G 관악지점,관악구,37.48490143,126.9365311,10,,10
서울신성초등학교,관악구,37.4711647,126.9370194,10,,10
신림1교 교차로,관악구,37.47842789,126.9318619,,20,20
미림여고입구 교차로,관악구,37.47229385,126.9334106,8,,8
서울산업정보학교,관악구,37.4706955,126.9421997,10,,10
난우길입구,관악구,37.47777557,126.9167557,15,,15
은천초등학교 육교,관악구,37.48635864,126.9429245,12,,12
낙성대역 3번출구 뒤,관악구,37.47702789,126.9633942,10,,10
신림푸르지오아파트,관악구,37.48072052,126.9093247,12,,12
인헌초교,관악구,37.47509003,126.9592285,10,,10
관악우체국,관악구,37.48476791,126.9328766,8,,8
JK장평타워,관악구,37.47648239,126.9653626,10,,10
낙성대역 1번출구,관악구,37.47629547,126.9649582,12,,12
봉천역 2번출구,관악구,37.48218918,126.942131,7,,7
조원동서울본병원,관악구,37.48152924,126.9120331,10,,10
서울대입구역 5번출구,관악구,37.48154831,126.9520035,17,,17
나들목공원,관악구,37.46940613,126.9445114,15,,15
당곡사거리,관악구,37.48974991,126.9274674,10,,10
삼성디지털프라자관악점,관악구,37.48856354,126.9284821,10,,10
신림동걷고싶은문화의거리입구,관악구,37.48730087,126.9287033,10,,10
보라매공원 보도육교,관악구,37.48899078,126.9163818,15,,15
신대방역 2번 출구,관악구,37.48712921,126.9130173,19,,19
서울대학교 정문,관악구,37.46709442,126.9493256,20,,20
양녕로 입구,관악구,37.48218918,126.9461594,7,,7
동방1교,관악구,37.47182846,126.9339218,20,,20
구암초등학교 버스정류장,관악구,37.48949051,126.9459229,10,,10
대학동 고시촌,관악구,37.47046661,126.938652,10,,10
낙성대입구삼거리,관악구,37.4788208,126.95961,,15,15
현대시장사거리,관악구,37.4867363,126.9475174,,15,15
봉천역 4번출구,관악구,37.48275375,126.9414063,,15,15
도원맨션,관악구,37.48368835,126.9391556,,12,12
대학동주민센터 ,관악구,37.47068787,126.9364853,,10,10
은천교회,관악구,37.48464584,126.9345093,,15,15
봉천역 3번출구,관악구,37.4833107,126.9390259,,15,15
사랑의병원,관악구,37.47946548,126.9569321,,10,10
신봉천주유소,관악구,37.47877121,126.9586945,,8,8
본마을 정류소 앞,서초구,37.4532814,127.0514832,20,,20
청계산입구역 1번출구,서초구,37.44893646,127.0543747,20,,20
청계산입구역 2번출구,서초구,37.44765854,127.0550156,10,,10
내곡3단지 어린이공원 앞,서초구,37.45375061,127.0593796,15,,15
언남초등학교 앞,서초구,37.45435715,127.0621033,20,,20
내곡파출소 뒤 정자,서초구,37.45440674,127.0649262,9,,9
반포1동 주민센터 앞,서초구,37.50509644,127.0131073,10,,10
서초구립반포도서관 앞,서초구,37.50263596,127.0123138,10,,10
서초현대4차아파트 201동 맞은편,서초구,37.50065231,127.0186157,14,,14
고속터미널역 5번출구 앞,서초구,37.5022316,127.0022583,20,,20
신반포역 2번출구 앞,서초구,37.50411606,126.9974899,15,,15
반포종합운동장 입구,서초구,37.5017128,126.9954758,10,,10
아크로리버뷰 부지 앞,서초구,37.51304626,127.0059586,20,,20
"고속터미널역 8-1번, 8-2번 출구 사이",서초구,37.50619888,127.0039444,20,,20
반포본동 주민센터 앞,서초구,37.50061417,126.9861603,10,,10
방일초교 마을버스 정류장,서초구,37.48561096,126.9946823,15,,15
사당역 12번출구 뒤,서초구,37.47806931,126.9820328,10,,10
방배래미안 정문 앞,서초구,37.47261047,126.9830093,15,,15
백석예술대학교 제3캠퍼스 앞,서초구,37.4737587,126.9952469,15,,15
신동아럭스빌아파트 앞,서초구,37.47518158,127.0013886,11,,11
방배열린문화센터 앞,서초구,37.48905182,126.9925232,15,,15
뒷벌공원 옆,서초구,37.48976898,126.986763,,10,10
로고스교회 맞은 편,서초구,37.48701096,126.9849625,10,,10
이수역 4번 출구,서초구,37.4858284,126.9826279,20,,20
삼성타운(삼성생명) A동 맞은편,서초구,37.49691391,127.0249634,19,,19
서초신동아1차아파트 옆,서초구,37.49111176,127.0229569,13,,13
KT 서초지사 앞,서초구,37.48215866,127.0027008,10,,10
서울남부터미널 대합실 입구,서초구,37.48455811,127.0148697,20,,20
교대역 6번출구,서초구,37.49421692,127.0137863,10,,10
양재전화국 사거리,서초구,37.48537827,127.0417023,6,,6
양재역 11번 출구 앞,서초구,37.48398972,127.0341797,20,,20
서울가정법원,서초구,37.48149109,127.0367279,15,,15
교육개발원입구 교차로,서초구,37.47785187,127.0389099,,20,20
양재초등학교 맞은편,서초구,37.47361374,127.03051,20,,20
서울시 품질시험소 앞,서초구,37.46920013,127.029007,,10,10
섬들근린공원,서초구,37.46263885,127.026619,30,,30
서초리슈빌S 글로벌 앞,서초구,37.45995331,127.0247421,10,,10
우솔초등학교 맞은편,서초구,37.45623398,127.0193481,10,,10
서초유치원 맞은편,서초구,37.4557991,127.0162888,10,,10
더케이호텔 입구(양재2),서초구,37.46750641,127.0344772,10,,10
잔디마을 마을버스 정류장,서초구,37.46332169,127.0360413,,25,25
시민의숲역 1번출구 옆,서초구,37.47016525,127.03862,25,,25
양재동 꽃시장 입구,서초구,37.46768951,127.0403595,,10,10
청계산 입구 삼거리,서초구,37.46268845,127.0461121,10,,10
구룡사 삼거리,서초구,37.47153854,127.0505905,20,,20
잠원역 3번-4번 출구사이,서초구,37.51298904,127.0111771,15,,15
한신16차아파트 119동 앞,서초구,37.5161972,127.0092087,25,,25
바우뫼문화복지회관,서초구,37.47192764,127.0268402,20,,20
이수역 1번출구,서초구,37.48897171,126.9827194,9,,9
이수고가차도 남단,서초구,37.49474335,126.9830627,10,,10
서초역 3번출구,서초구,37.49053955,127.0081635,15,,15
서초4동주민센터,서초구,37.50231934,127.0222702,10,,10
주홍교 하부,서초구,37.51034927,127.0160523,15,,15
서초포레스타 7단지,서초구,37.44896698,127.0577393,10,,10
내방역 8번출구 앞,서초구,37.48802185,126.9941177,8,,8
교대입구 교차로,서초구,37.4873085,127.010582,10,,10
일동제약 사거리,서초구,37.47782898,127.038269,10,,10
양재시민의숲역 3번출구,서초구,37.46965027,127.0396118,10,,10
염곡치안센터 건너편,서초구,37.46157837,127.0487976,10,,10
영동1교 (양재천근린공원),서초구,37.47438812,127.0389023,15,,15
길마중4교 하부,서초구,37.51483917,127.0156021,,10,10
교대역 5번출구뒤,서초구,37.49361801,127.014183,10,,10
서울서초고용센터앞,서초구,37.48416138,127.0109711,10,,10
연세사랑병원신관앞,서초구,37.47597885,126.9862824,7,,7
방배래미안아트힐 101동앞,서초구,37.47720337,127.0058365,10,,10
그룹한빌딩옆,서초구,37.48652649,126.9891663,10,,10
CJ오쇼핑앞,서초구,37.4681015,126.9868012,15,,15
LH서초3단지 301동 맞은편,서초구,37.45742416,127.0226517,10,,10
탑성마을입구,서초구,37.4585495,127.0558853,10,,10
능안마을입구,서초구,37.45561981,127.0671005,10,,10
안골마을입구,서초구,37.45560837,127.0644531,10,,10
남태령역 2번출구,서초구,37.46429825,126.9885254,10,,10
SPC 앞,서초구,37.48479843,127.0369949,10,,10
두상빌딩 앞,서초구,37.47590637,127.0462418,15,,15
남부터미널역 1번출구,서초구,37.485672,127.0159226,10,,10
래미안서초스위트앞,서초구,37.50241089,127.0216065,12,,12
한전아트센터 앞,서초구,37.48646927,127.0280609,12,,12
현대고등학교 건너편,강남구,37.52407074,127.0217896,10,,10
교보타워 버스정류장(신논현역 3번출구 후면),강남구,37.5055809,127.0242767,10,,10
논현역 7번출구,강남구,37.51137161,127.0214615,15,,15
대현그린타워 앞,강남구,37.5116272,127.0356522,,10,10
MCM 본사 직영점 앞,강남구,37.52064133,127.0345078,6,,6
압구정역 2번 출구 옆,강남구,37.5271225,127.028717,30,,30
압구정 한양 3차 아파트,강남구,37.52838135,127.0390167,10,,10
압구정파출소 앞,강남구,37.52930069,127.0355988,14,,14
청담역(우리들병원 앞),강남구,37.51890182,127.0493851,10,,10
청담동 맥도날드 옆(위치),강남구,37.52361298,127.0401764,10,,10
학동로 래미안 아파트 앞,강남구,37.51777267,127.0430222,10,,10
청담역 13번 출구 앞,강남구,37.52058029,127.0563278,10,,10
금원빌딩 앞,강남구,37.52511597,127.0524674,10,,10
청담나들목입구,강남구,37.52127457,127.0610352,10,,10
봉은사역 5번출구 옆,강남구,37.51424789,127.0611191,10,,10
삼성역 8번출구,강남구,37.50957489,127.0634079,20,,20
삼성도로공원,강남구,37.51588821,127.0662003,10,,10
삼성중앙역4번출구(문화센터더 리빌),강남구,37.51357651,127.0550308,12,,12
포스코사거리 서측(수협 삼성동 지점),강남구,37.50660706,127.0546799,10,,10
도곡역 대치지구대 방향,강남구,37.4919281,127.0569687,10,,10
학여울역 사거리,강남구,37.49611664,127.0694428,10,,10
삼성역 3번 출구,강남구,37.50809097,127.0631027,15,,15
주식회사 오뚜기 정문 앞,강남구,37.50221252,127.0672073,10,,10
천주교 대치 2동 교회 옆,강남구,37.50043869,127.0662231,10,,10
대치삼성아파트 앞 교차로,강남구,37.4986496,127.0593185,10,,10
대치동 삼성로,강남구,37.50239563,127.0587997,10,,10
뱅뱅사거리 랜드마크타워 앞,강남구,37.49055099,127.0314636,15,,15
르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,37.50321198,127.0427322,10,,10
르네상스호텔사거리 역삼지하보도 2번출구,강남구,37.50235748,127.04319,10,,10
역삼월드메르디앙아파트 앞,강남구,37.49219894,127.0394592,10,,10
동영문화센터앞,강남구,37.49805069,127.0446014,10,,10
선릉역3번출구,강남구,37.50400925,127.0490799,15,,15
양재역 3번출구 주변,강남구,37.48515701,127.0340729,15,,15
삼호아파트 2동 ( 간선도로),강남구,37.49375916,127.0458984,12,,12
3호선 매봉역 3번출구앞,강남구,37.48676682,127.0467606,15,,15
강남세브란스교차로 래미안그레이튼 104동 앞,강남구,37.49423599,127.0474625,15,,15
대모산입구역 2번출구 앞,강남구,37.49207687,127.0719757,10,,10
현대아파트 정문 앞,강남구,37.48326111,127.0522995,10,,10
삼호물산버스정류장(23370) 옆,강남구,37.47750854,127.0451737,,17,17
일원역 4~5번 출구 사이,강남구,37.4833107,127.0849381,10,,10
대청역 1번출구 뒤,강남구,37.49400711,127.0795136,15,,15
세곡사거리 대왕파출소 앞,강남구,37.46531677,127.1077271,10,,10
리엔파크 2단지 앞,강남구,37.46506119,127.1011963,10,,10
두산건설 본사,강남구,37.51863861,127.0354004,11,,11
포스코사거리(기업은행),강남구,37.50723267,127.0568543,,23,23
역삼빌딩 앞(하나은행 옆),강남구,37.50154495,127.0385666,12,,12
래미안그레이튼102동앞,강남구,37.49482346,127.047905,9,,9
청소년수련관(수영장)앞,강남구,37.48387909,127.0890274,11,,11
서울본부세관(건설회관 앞),강남구,37.51758957,127.0350266,6,,6
강남구청역 2번출구 뒤,강남구,37.51681137,127.0404739,10,,10
청담역 2번출구,강남구,37.51978683,127.0567627,5,,5
삼성역 5~6번 출구 사이,강남구,37.50912094,127.0623093,25,,25
강남구청,강남구,37.51807022,127.0471191,10,10,20
르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번,강남구,37.50194931,127.0427704,10,,10
구룡초사거리 (현대아파트10동 앞 ),강남구,37.48138428,127.0539169,7,,7
"국립국악중,고교 정문 맞은편",강남구,37.47560501,127.0503769,13,,13
도곡1동 주민센터 교차로,강남구,37.4928093,127.0413895,9,,9
신사동 가로수길 입구,강남구,37.51763535,127.0224533,10,,10
강남 을지병원 교차로,강남구,37.51913834,127.0275192,15,,15
도산공원교차로,강남구,37.52124023,127.0318985,10,,10
K+ 타워 앞,강남구,37.52330017,127.038475,15,,15
도곡동 경남아파트 건너편,강남구,37.48934174,127.0412979,7,,7
KT선릉타워,강남구,37.50542831,127.0528717,20,,20
한티역 3번출구,강남구,37.49655151,127.0542984,10,,10
한국우편사업진흥원,강남구,37.51474762,127.0351334,10,,10
대치역 사거리,강남구,37.49449921,127.063797,10,,10
개포동역 사거리,강남구,37.48927689,127.0655747,20,,20
수서역 1번출구 앞,강남구,37.48735046,127.1009979,14,,14
수서역 6번출구 앞,강남구,37.48677826,127.1005173,20,,20
수서역 5번출구 뒤,강남구,37.48735046,127.1023254,9,,9
삼성동베이직하우스앞,강남구,37.51169586,127.0493469,12,,12
언주역 6번출구앞,강남구,37.50636673,127.034523,8,,8
역삼동 sk뷰 501동앞,강남구,37.50134277,127.0504684,6,,6
보금자리정원,강남구,37.46632767,127.0948868,10,,10
자곡사거리,강남구,37.47602844,127.1059418,15,,15
학동역,강남구,37.51395035,127.0301514,10,,10
크린랩 본사,강남구,37.50958633,127.0409088,,10,10
래미안강남힐즈 사거리,강남구,37.47245407,127.096077,10,,10
강남구 도시관리공단,강남구,37.51678467,127.0516129,10,,10
경기여자고등학교 후문 (삼성로3길 입구),강남구,37.48616028,127.0672379,15,,15
구룡마을 입구 (래미안블레스티지 아파트),강남구,37.48088074,127.0630417,10,,10
구룡터널 입구(개포1단지아파트),강남구,37.47598648,127.0596237,10,,10
구룡산 입구 (구룡산 서울둘레길 입구),강남구,37.47447205,127.0554504,15,,15
구룡사 앞 교차로 (보도육교),강남구,37.47200012,127.0513382,10,,10
개포래미안포레스트아파트 107동 앞,강남구,37.48029709,127.0542603,,10,10
개포1단지아파트 입구 (보도육교),강남구,37.47929001,127.0557327,10,,10
영동3교 북단(우성캐릭터 앞 보도),강남구,37.48574066,127.0510483,15,,15
더라움,강남구,37.50811005,127.0394516,10,,10
밀알학교 입구 (삼성서울병원 입구),강남구,37.48656082,127.0826721,10,,10
공무원연금매점 교차로 (개포주공9단지 입구),강남구,37.48871994,127.0745392,15,,15
대모산입구역 4번 출구 앞,강남구,37.49180984,127.0731583,10,,10
청담공원앞 교차로,강남구,37.51871109,127.0508499,14,,14
논현동 광명빌딩 앞,강남구,37.5175705,127.0236435,10,,10
역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),강남구,37.49847031,127.0301132,10,,10
강남한양수자인아파트,강남구,37.4773407,127.1132736,14,,14
역삼동 디오슈페리움 (우성아파트 사거리),강남구,37.49206161,127.0307465,20,,20
포스코피앤에스타워 (역삼역 3번출구 부근),강남구,37.49959946,127.0337524,,10,10
세곡동 성당,강남구,37.47296906,127.1122284,15,,15
일원1동 주민센터,강남구,37.49170303,127.0882263,15,,15
도곡역 1번 출구,강남구,37.49095917,127.0549851,,20,20
도곡역 아카데미스위트 앞,강남구,37.48897171,127.0518265,,20,20
한티역 롯데백화점 앞,강남구,37.49667358,127.0534287,,15,15
한티역 6번 출구,강남구,37.4958992,127.0521927,,10,10
선정릉 디캠프(D.CAMP)앞,강남구,37.50799942,127.0452499,,10,10
봉은사역 7번 출구,강남구,37.51393509,127.0598221,,10,10
"봉은사역 1,2번 출구",강남구,37.51430893,127.0597,,13,13
학여울역 사거리(LG베스트샵 앞),강남구,37.49689484,127.070137,,20,20
신논현역 4번출구,강남구,37.504673,127.025795,,15,15
수서동 성당 맞은편,강남구,37.48416901,127.0948486,,10,10
영희초교 사거리(래미안개포루체하임),강남구,37.4908371,127.0806503,,10,10
세곡동 사거리(대왕초등학교 정류장),강남구,37.46461868,127.1068497,,20,20
강남한신휴플러스 6단지,강남구,37.46829605,127.1046982,,10,10
개포고등학교 정문앞,강남구,37.48485184,127.0583725,,10,10
롯데리아 개포점앞,강남구,37.48236847,127.0611877,,10,10
압구정로데오역 6번출구,강남구,37.52745438,127.0404282,,10,10
강남파이낸스센터앞(역삼역2번출구),강남구,37.50024414,127.0360565,,10,10
대치역 7번출구,강남구,37.49411774,127.0629044,,10,10
서초 포레스타5단지,서초구,37.45066071,127.0570602,10,,10
서초역1번출구 앞,서초구,37.49195099,127.0085526,9,,9
반포1동 서초빌딩 앞,서초구,37.50381088,127.0213623,10,,10
신사역 4번출구 뒤,서초구,37.51588058,127.0193024,,10,10
우성아파트사거리 (기업은행앞),서초구,37.49325943,127.0295334,12,,12
LG유플러스 (방배사옥),서초구,37.47909164,126.9906769,10,,10
양재이스타빌 앞,서초구,37.48297882,127.0422592,10,,10
심산기념문화센터,서초구,37.49836349,126.9911499,,16,16
JW타워,서초구,37.48303986,127.0214615,8,,8
이수역 6번출구 앞,서초구,37.48366165,126.9823227,10,,10
사평역 2번출구,서초구,37.50364304,127.0160217,,10,10
서초초등학교 후문,서초구,37.49892807,127.0247269,,15,15
본마을 노인복지센터 앞,서초구,37.45441818,127.052742,,10,10
서초3교(효령로69길 방면),서초구,37.48768234,127.0247879,,20,20
서초3교(효령로70길 방면),서초구,37.48731613,127.0248947,,6,6
서초2교(사임당로 방면),서초구,37.49100876,127.0235214,,10,10
서초1교 (진흥아파트 방면),서초구,37.49619293,127.0210114,,20,20
서초 크로바타워 앞,서초구,37.49556351,127.0191803,,13,13
뉴코아 킴스클럽 앞,서초구,37.51019287,127.0072556,,10,10
반포쇼핑타운 8동 앞,서초구,37.50735092,127.0080185,,15,15
반포쇼핑타운 2동 앞,서초구,37.5056076,127.0021591,,20,20
반포경남쇼핑 앞,서초구,37.50478745,126.9999237,,10,10
반포중학교 앞(세화여고 맞은편),서초구,37.50296021,126.9935989,,10,10
함지박 사거리,서초구,37.4937706,126.9900665,,10,10
우리은행 방배동지점 앞,서초구,37.48991776,126.9920807,,12,12
삼호3차아파트 앞,서초구,37.4977951,126.9870682,,15,15
멤피스아파트 앞,서초구,37.49420547,126.989357,,10,10
국립국악원 앞,서초구,37.47820282,127.0087814,,10,10
한가람미술관 앞,서초구,37.48087692,127.0145264,,10,10
신반포역 3번출구 뒤,서초구,37.50362396,126.9973221,,10,10
서초종합체육관 입구,서초구,37.45924759,127.0416336,,10,10
양재역 8번출구 앞,서초구,37.48257065,127.036438,,10,10
사평리 공원,서초구,37.52026749,127.0152512,,10,10
대한무역투자진흥공사 KOTRA 앞,서초구,37.46540833,127.0437775,,10,10
반포천 앞,서초구,37.49905014,126.996254,,10,10
옛골 입구,서초구,37.43097687,127.0703354,,10,10
신논현역2번출구(신논현타워 앞),서초구,37.50508881,127.0239105,,10,10
국립중앙도서관(국제회의장옆),서초구,37.49721146,127.0042725,,18,18
포드서초서비스센터앞,서초구,37.51904678,127.0122833,,10,10
반포1동 자율방범초소 옆,서초구,37.50847626,127.0167618,,18,18
LH 서초 4단지 403동,서초구,37.45924759,127.0239029,,10,10
양재동 꽃시장 건너편,서초구,37.46738434,127.0414581,,10,10
석촌호수 서호사거리,송파구,37.5067482,127.0988312,10,,10
송파 글마루 도서관,송파구,37.48095322,127.1301041,10,,10
풍납토성 서성벽터A,송파구,37.53131104,127.1112824,10,,10
복정역 1번 출구 앞,송파구,37.47129822,127.1270905,15,,15
위례동주민센터 맞은편 근린공원,송파구,37.48173904,127.1432266,15,,15
송파구청,송파구,37.5150528,127.1062698,,10,10
보성중고등학교 후문 앞,송파구,37.52048874,127.1352005,10,,10
여흥레이크빌 앞 (석촌호수 까페거리),송파구,37.51045227,127.1064072,10,,10
송파지역자활센터 뒤,송파구,37.53641891,127.1161652,7,,7
문정·가락 대여소 앞,송파구,37.48871994,127.1098251,10,,10
잠실나들목,송파구,37.51678085,127.0904923,18,,18
가락고등학교 앞,송파구,37.50186157,127.1172333,15,,15
테라타워2,송파구,37.48834991,127.1207809,15,,15
거여동 사거리,송파구,37.49704742,127.1403503,10,,10
가락삼환아파트 앞,송파구,37.49618149,127.138031,15,,15
삼전역 1번출구,송파구,37.50471115,127.0875626,14,,14
석촌고분역 5번출구,송파구,37.50233841,127.0964432,,9,9
송파나루역 4번 출구옆,송파구,37.50997925,127.1123123,12,,12
한성백제역 2번 출구,송파구,37.51665878,127.1162567,15,,15
올림픽공원역 3번출구,송파구,37.51625824,127.1305924,20,,20
석촌동 주민센터,송파구,37.50362396,127.1035538,,15,15
가락종합 사회복지관,송파구,37.4955368,127.1072006,,15,15
"경찰병원역 1,2번 출구 사이",송파구,37.49569321,127.1238556,,15,15
문정시영아파트 5동 앞 공원,송파구,37.4911232,127.135109,,15,15
